Common Name,Scientific Name,Growth Type,Edible,Medicinal Use,Optimal Temperature (°C),Humidity Preference (%),Sunlight Requirement,Climate Suitability,Preferred Soil Type,Soil pH Range,Water Requirement,Irrigation Frequency,Germination Time (Days),Time to Harvest (Days),Companion Planting Suitability,Pruning Requirement,Common Pests,Disease Resistance,Nitrogen Need,Phosphorus Need,Potassium Need,Recommended Organic Fertilizers,Suitable for Region,Suitable for Season
Mint,Mentha,Herb,Yes,Yes,23,81,Partial Shade,Temperate,Sandy,6.1,Medium,Daily,20,63,Bad,No,Bacterial,None,Medium,Medium,High,Compost,Bangalore,Monsoon
Carrot,Daucus carota,Herb,Yes,No,15,53,Partial Shade,Arid,Sandy,5.5,Low,Daily,20,104,Good,No,Caterpillars,Viral,Medium,Low,Medium,Vermicompost,Chennai,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,15,65,Shade,Subtropical,Silt,7.4,Low,Daily,6,41,Good,Yes,Caterpillars,None,Low,High,High,Compost,Delhi,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,31,47,Full Sun,Tropical,Peaty,5.7,Low,Daily,6,45,Bad,No,Bacterial,Bacterial,High,Low,Medium,Compost,Hyderabad,Winter
Radish,Raphanus sativus,Herb,Yes,No,26,60,Shade,Arid,Loam,6.8,Low,Daily,11,118,Good,No,Bacterial,Fungal,Medium,High,Low,Compost,Delhi,Winter
Mint,Mentha,Herb,Yes,Yes,18,76,Partial Shade,Subtropical,Silt,6.0,Medium,Daily,14,56,Bad,Yes,None,Fungal,Medium,Medium,Low,Compost,Chennai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,23,51,Shade,Arid,Sandy,5.9,Medium,Daily,11,82,Bad,No,Fungal,None,Low,Low,Low,Manure,Mumbai,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,31,79,Full Sun,Tropical,Loam,7.3,High,Weekly,8,61,Good,Yes,None,Fungal,Medium,Medium,Medium,Manure,Delhi,Monsoon
Carrot,Daucus carota,Herb,Yes,No,17,87,Full Sun,Subtropical,Clay,6.2,High,Weekly,10,99,Bad,No,Caterpillars,Bacterial,Medium,Low,High,Vermicompost,Bangalore,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,26,84,Full Sun,Temperate,Peaty,6.9,Low,Weekly,6,82,Good,Yes,Aphids,Viral,Low,Medium,Medium,Manure,Delhi,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,17,53,Partial Shade,Subtropical,Silt,6.2,Low,Daily,5,117,Bad,No,Bacterial,Fungal,Low,High,Medium,Manure,Mumbai,Monsoon
Carrot,Daucus carota,Herb,Yes,No,28,63,Partial Shade,Arid,Loam,5.9,Medium,Daily,8,56,Good,Yes,Fungal,Fungal,Medium,High,High,Compost,Bangalore,Summer
Chili,Capsicum annuum,Shrub,Yes,No,27,82,Partial Shade,Arid,Loam,5.9,Medium,Daily,13,51,Good,No,Fungal,Bacterial,Medium,High,Medium,Manure,Chennai,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,27,74,Full Sun,Arid,Clay,7.2,High,Weekly,19,116,Bad,No,None,None,Medium,Medium,Low,Compost,Delhi,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,22,42,Full Sun,Temperate,Peaty,6.1,Low,Weekly,15,51,Good,Yes,Fungal,Viral,Medium,Low,Medium,Compost,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,28,80,Full Sun,Tropical,Peaty,7.0,High,Weekly,15,75,Good,Yes,None,None,High,Medium,High,Manure,Hyderabad,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,29,63,Full Sun,Subtropical,Peaty,6.9,High,Daily,12,31,Bad,Yes,None,Bacterial,Medium,Low,Medium,Manure,Hyderabad,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,29,49,Shade,Subtropical,Silt,6.5,Medium,Daily,10,41,Good,No,Bacterial,Fungal,High,Medium,High,Compost,Delhi,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,21,47,Partial Shade,Temperate,Sandy,5.6,High,Daily,10,70,Good,No,None,None,High,Low,Medium,Manure,Hyderabad,Summer
Chili,Capsicum annuum,Shrub,Yes,No,32,44,Shade,Subtropical,Loam,6.6,High,Daily,7,48,Good,No,Fungal,Bacterial,Low,Low,High,Vermicompost,Hyderabad,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,28,69,Full Sun,Tropical,Loam,6.8,Low,Daily,11,84,Bad,Yes,Caterpillars,Fungal,Low,Low,Medium,Compost,Hyderabad,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,34,45,Partial Shade,Temperate,Loam,7.4,High,Daily,5,38,Good,No,Aphids,None,High,Medium,High,Manure,Chennai,Winter
Carrot,Daucus carota,Herb,Yes,No,35,54,Full Sun,Tropical,Sandy,6.6,Medium,Daily,8,105,Good,Yes,None,Bacterial,High,Low,Medium,Vermicompost,Chennai,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,16,83,Full Sun,Subtropical,Clay,7.1,Low,Weekly,20,119,Bad,Yes,Aphids,Bacterial,High,Medium,Low,Vermicompost,Delhi,Winter
Chili,Capsicum annuum,Shrub,Yes,No,20,57,Shade,Arid,Loam,7.3,High,Weekly,18,46,Bad,Yes,None,Viral,Medium,Medium,High,Compost,Chennai,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,30,88,Partial Shade,Arid,Peaty,7.5,Low,Weekly,8,31,Bad,No,Caterpillars,Fungal,High,High,High,Manure,Mumbai,Monsoon
Mint,Mentha,Herb,Yes,Yes,32,53,Full Sun,Arid,Loam,5.7,Low,Weekly,11,40,Bad,Yes,None,Bacterial,High,Low,High,Manure,Chennai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,29,72,Partial Shade,Temperate,Sandy,7.4,Medium,Weekly,6,67,Good,No,Caterpillars,Bacterial,Medium,Medium,High,Manure,Hyderabad,Winter
Chili,Capsicum annuum,Shrub,Yes,No,23,80,Partial Shade,Arid,Clay,6.6,High,Weekly,16,99,Bad,Yes,Aphids,Bacterial,Medium,Medium,Low,Vermicompost,Mumbai,Summer
Carrot,Daucus carota,Herb,Yes,No,17,86,Shade,Arid,Loam,7.1,Medium,Weekly,12,48,Bad,Yes,Aphids,Fungal,High,High,High,Manure,Bangalore,Summer
Mint,Mentha,Herb,Yes,Yes,30,54,Partial Shade,Tropical,Sandy,5.8,Low,Weekly,14,82,Good,Yes,Fungal,Viral,Low,Low,Low,Vermicompost,Mumbai,Summer
Carrot,Daucus carota,Herb,Yes,No,16,43,Partial Shade,Temperate,Sandy,5.6,High,Weekly,12,81,Bad,Yes,Fungal,Bacterial,Medium,High,High,Vermicompost,Hyderabad,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,22,77,Full Sun,Temperate,Sandy,7.3,High,Daily,12,80,Bad,No,None,Viral,High,Medium,Low,Compost,Mumbai,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,19,43,Full Sun,Tropical,Sandy,6.6,High,Weekly,14,95,Good,No,Fungal,Bacterial,Medium,Medium,Low,Vermicompost,Chennai,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,20,43,Shade,Temperate,Loam,6.7,Low,Weekly,5,88,Good,No,Fungal,None,Low,Low,High,Compost,Hyderabad,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,31,70,Full Sun,Subtropical,Clay,5.6,Low,Daily,17,57,Good,No,Caterpillars,Viral,Low,Medium,High,Compost,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,17,49,Shade,Tropical,Sandy,7.5,Medium,Weekly,13,104,Bad,No,None,Fungal,Medium,Low,Low,Vermicompost,Chennai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,35,80,Shade,Tropical,Silt,6.3,High,Daily,10,94,Good,No,None,Viral,Low,High,Low,Vermicompost,Hyderabad,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,16,80,Full Sun,Subtropical,Loam,6.4,Low,Weekly,8,72,Good,Yes,Aphids,Viral,Medium,High,Low,Vermicompost,Chennai,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,15,46,Shade,Subtropical,Peaty,6.9,Low,Daily,12,103,Bad,Yes,Aphids,Fungal,Medium,Low,Medium,Compost,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,34,58,Full Sun,Subtropical,Sandy,5.8,High,Daily,8,120,Good,No,Aphids,None,Medium,Medium,Low,Compost,Mumbai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,26,85,Full Sun,Subtropical,Sandy,6.6,Medium,Weekly,9,106,Good,Yes,Caterpillars,Fungal,High,High,Medium,Compost,Mumbai,Winter
Carrot,Daucus carota,Herb,Yes,No,15,76,Full Sun,Subtropical,Silt,5.9,Low,Weekly,15,73,Good,Yes,Bacterial,Bacterial,Low,Low,High,Manure,Bangalore,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,32,46,Shade,Tropical,Clay,7.3,Low,Weekly,10,93,Bad,No,Fungal,Bacterial,High,Medium,Medium,Compost,Bangalore,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,21,62,Full Sun,Temperate,Loam,6.8,High,Daily,9,83,Bad,Yes,Bacterial,Viral,Medium,Low,Low,Manure,Delhi,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,18,63,Partial Shade,Temperate,Clay,5.9,Low,Weekly,15,54,Good,No,Bacterial,Bacterial,Medium,Medium,High,Compost,Delhi,Monsoon
Carrot,Daucus carota,Herb,Yes,No,26,78,Partial Shade,Subtropical,Loam,7.1,Medium,Daily,16,34,Good,Yes,Fungal,None,Low,Low,Low,Vermicompost,Chennai,Winter
Carrot,Daucus carota,Herb,Yes,No,27,46,Partial Shade,Temperate,Clay,6.6,Medium,Weekly,11,98,Bad,No,Caterpillars,Viral,Medium,Low,High,Manure,Chennai,Monsoon
